Stimulus ID, ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity,Phase 2 Response,Phase 1 Response,Final Score,,,Phase 2 Response,Phase 1 Response,,,,,,,
150,7,39,20264,157925,13609,65.34397793,6.593155777,34.98139804,7.17384019,6.663636364,6.7,6.681818182,,,,,,,,,,,
151,36,36,261702,293769,883,23.52037791,20.02508419,35.14919057,11.99784254,4.275862069,4.698275862,4.487068966,,,,,,,,,,,
152,7,40,242918,155655,16,41.14994925,5.730477608,60.44976176,8.174487933,5.373831776,5.401869159,5.387850467,,,,,,,,,,,
153,5,15,1104290,111803,4309,28.52195099,4.609362104,31.60279916,9.8516642,6,6.263565891,6.131782946,,,,,,,,,,,
154,1,0,854016,0,2188,69.78914522,4.873616237,73.33381387,5.891083867,5.854700855,5.914529915,5.884615385,,,,,,,,,,,
155,6,11,31132,20531,4,6.239276732,5.556991308,33.42368771,2.571643374,4.741935484,4.951612903,4.846774194,,,,,,,,,,,
156,5,16,433894,244014,16,38.4743538,3.266384881,61.84177796,8.660284481,4.85840708,5.238938053,5.048672566,,,,,,,,,,,
157,8,18,695628,225276,2914,32.79909031,12.1592766,63.04459494,9.724745408,4.692913386,4.834645669,4.763779528,,,,,,,,,,,
158,8,12,36358,46528,2983,26.42365483,5.536244995,30.80283318,3.452125278,4.563492063,4.928571429,4.746031746,,,,,,,,,,,
159,23,12,144598,153629,9295,150.1687904,4.868668084,67.30989264,7.120958017,5.190909091,5.436363636,5.313636364,,,,,,,,,,,
160,9,2,61569,2687,2374,80.24652478,2.383383118,18.79527024,3.077848258,6.234375,6.2265625,6.23046875,,,,,,,,,,,
161,21,16,105166,66805,6325,44.8285298,3.306035109,47.43463412,5.418699816,5.016806723,5.168067227,5.092436975,,,,,,,,,,,
162,32,18,103632,29068,1804,98.38960028,14.88859334,89.8453216,6.586139602,5.831858407,5.902654867,5.867256637,,,,,,,,,,,
163,1,4,296703,40258,928,36.75007898,20.58963618,53.50812451,3.706885063,5.443396226,5.849056604,5.646226415,,,,,,,,,,,
164,7,4,800930,40898,16,11.47568647,2.550002415,35.5412048,6.182966113,5.010204082,4.979591837,4.994897959,,,,,,,,,,,
165,9,12,99301,65565,11173,228.7997449,5.044725874,59.67545096,4.748360618,5.429752066,5.504132231,5.466942149,,,,,,,,,,,
166,12,22,187250,104588,16,74.37317367,3.061056863,119.4347755,7.208132633,5.675675676,6.252252252,5.963963964,,,,,,,,,,,
167,1,0,671886,0,11284,65.65086165,31.86614751,51.90439424,4.580986584,5.628865979,5.680412371,5.654639175,,,,,,,,,,,
168,2,20,249693,84850,1456,17.15535996,10.87524955,25.45465724,5.128063301,4.85483871,5.008064516,4.931451613,,,,,,,,,,,
169,7,9,339932,81206,3772,55.3240887,7.619282692,70.65173642,5.613415734,6.294117647,6.529411765,6.411764706,,,,,,,,,,,
170,5,17,18738,235084,16,20.86417389,21.04329104,52.04558402,6.169275896,4.904761905,5.150793651,5.027777778,,,,,,,,,,,
171,0,0,1002822,0,11392,68.71591967,9.083830896,59.63745112,6.472727186,5.504273504,5.606837607,5.555555556,,,,,,,,,,,
172,1,1,2263972,20982,13201,32.87434109,23.57165679,35.61481361,12.27815779,5.220338983,5.194915254,5.207627119,,,,,,,,,,,
173,2,9,429953,75084,3112,52.62612563,46.85469665,65.82262244,5.6615055,6.11627907,6.418604651,6.26744186,,,,,,,,,,,
174,4,25,52411,56343,6181,129.3538932,20.65926899,63.21151491,4.516259037,4.305555556,4.62037037,4.462962963,,,,,,,,,,,
175,10,14,149732,110027,5518,46.79442931,7.528325673,58.49735957,5.547453809,6.25,6.3125,6.28125,,,,,,,,,,,
